"id","name","code","account_type","reconcile","name@vi_VN","tag_ids"
"chart347","Deferred tax liabilities","347","liability_current","False","Thuế thu nhập hoãn lại phải trả",""
"chart35211","Product warranty provisions - short term","35211","liability_current","False","Dự phòng bảo hành sản phẩm hàng hoá - ngắn hạn","l10n_vn.operating_provision"
"chart35212","Product warranty provisions - long term","35212","liability_current","False","Dự phòng bảo hành sản phẩm hàng hoá - dài hạn","l10n_vn.operating_provision"
"chart35221","Construction warranty provisions - short term","35221","liability_current","False","Dự phòng bảo hành công trình xây dựng - ngắn hạn","l10n_vn.operating_provision"
"chart35222","Construction warranty provisions - long term","35222","liability_current","False","Dự phòng bảo hành công trình xây dựng - dài hạn","l10n_vn.operating_provision"
"chart35231","Enterprise restructuring provisions - short term","35231","liability_current","False","Dự phòng tái cơ cấu doanh nghiệp - ngắn hạn","l10n_vn.operating_provision"
"chart35232","Enterprise restructuring provisions - long term","35232","liability_current","False","Dự phòng tái cơ cấu doanh nghiệp - dài hạn","l10n_vn.operating_provision"
"chart35241","Other provisions - short term","35251","liability_current","False","Dự phòng phải trả khác - ngắn hạn","l10n_vn.operating_provision"
"chart35242","Other provisions - long term","35252","liability_current","False","Dự phòng phải trả khác - dài hạn","l10n_vn.operating_provision"
"chart3531","Bonus fund","3531","liability_current","False","Quỹ khen thưởng","l10n_vn.operating_trade_payable"
"chart3532","Welfare fund","3532","liability_current","False","Quỹ phúc lợi","l10n_vn.operating_trade_payable"
"chart3533","Welfare fund used for fixed asset acquisitions","3533","liability_current","False","Quỹ phúc lợi đã hình thành TSCĐ","l10n_vn.operating_trade_payable"
"chart3534","Management bonus fund","3534","liability_current","False","Quỹ thưởng ban quản lý điều hành công ty","l10n_vn.operating_trade_payable"
"chart3561","Science and technology development fund","3561","liability_current","False","Quỹ phát triển khoa học và công nghệ","l10n_vn.operating_other_adjustment"
"chart3562","Science and technology development fund used for fixed asset acquisition","3562","liability_current","False","Quỹ phát triển khoa học và công nghệ đã hình thành TSCĐ","l10n_vn.operating_other_adjustment"
"chart357","Price stabilization fund","357","liability_current","False","Quỹ bình ổn giá","l10n_vn.operating_other_adjustment"
"chart41111","Ordinary shares with voting rights","41111","equity","False","Cổ phiếu phổ thông có quyền biểu quyết","l10n_vn.finance_share_issuance,l10n_vn.finance_repay_capital_purchase_share"
"chart41112","Preferred shares - payable ","411121","equity","False","Cổ phiếu ưu đãi - Nợ phải trả","l10n_vn.finance_share_issuance,l10n_vn.finance_repay_capital_purchase_share"
"chart411122","Preferred shares - owner's equity ","411122","equity","False","Cổ phiếu ưu đãi - Vốn chủ sở hữu","l10n_vn.finance_share_issuance,l10n_vn.finance_repay_capital_purchase_share"
"chart4112","Capital surplus","4112","equity","False","Thặng dư vốn","l10n_vn.finance_share_issuance,l10n_vn.finance_repay_capital_purchase_share"
"chart4113","Conversion options on convertible bonds","4113","equity","False","Quyền chọn chuyển đổi trái phiếu","l10n_vn.finance_share_issuance,l10n_vn.finance_repay_capital_purchase_share"
"chart4118","Other capital","4118","equity","False","Vốn khác","l10n_vn.finance_share_issuance,l10n_vn.finance_repay_capital_purchase_share"
"chart412","Revaluation differences on asset","412","equity","False","Chênh lệch đánh giá lại tài sản",""
"chart4131","Exchange rate differences ","413","equity","False","Chênh lệch tỷ giá hối đoái",""
"chart414","Investment & development fund","414","equity","False","Quỹ đầu tư phát triển",""
"chart418","Other equity funds","418","equity","False","Các quỹ khác thuộc vốn chủ sở hữu",""
"chart419","Stocks bought from oneself","419","equity","False","Cổ phiếu mua lại của chính mình","l10n_vn.finance_share_issuance,l10n_vn.finance_repay_capital_purchase_share"
"chart4211","Undistributed profit after tax of previous year","4211","equity","False","Lợi nhuận sau thuế chưa phân phối năm trước",""
"chart4212","Undistributed profit after tax of current year","4212","equity","False","Lợi nhuận sau thuế chưa phân phối năm nay",""
"chart5111","Revenue from sales and services","511","income","False","Doanh thu bán hàng và cung cấp dịch vụ",""
"chart515","Financial income","515","income","False","Doanh thu hoạt động tài chính",""
"chart5151","Gain from revaluation of foreign currency items","5151","income","False","","l10n_vn.operating_forex_gain_loss"
"chart5152","Gain from exchange rate difference - financial investment","5152","income","False","","l10n_vn.currency_differences"
"chart5153","Gain from selling financial investment","5153","income","False","","l10n_vn.investing_cash_in_interest_dividend"
"chart5154","Interest from lending, time deposit and dividend received","5154","income","False","","l10n_vn.operating_fin_activities"
"chart5211","Sales discounts","521","income","False","Các khoản giảm trừ doanh thu",""
"chart621","Direct raw material costs","621","expense_direct_cost","False","Chi phí nguyên liệu, vật liệu trực tiếp",""
"chart622","Direct labour costs","622","expense_direct_cost","False","Chi phí nhân công trực tiếp",""
"chart6231","Labour costs","6231","expense_direct_cost","False","Chi phí nhân công",""
"chart6232","Material costs","6232","expense_direct_cost","False","Chi phí nguyên, vật liệu",""
"chart6233","Tools and instruments","6233","expense_direct_cost","False","Chi phí dụng cụ sản xuất",""
"chart6234","Equipment depreciation expense","6234","expense_direct_cost","False","Chi phí khấu hao máy thi công",""
"chart6237","Outside services","6237","expense_direct_cost","False","Chi phí dịch vụ mua ngoài",""
"chart6238","Other expenses","6238","expense_direct_cost","False","Chi phí bằng tiền khác",""
"chart6271","Factory staff costs","6271","expense_direct_cost","False","Chi phí nhân viên phân xưởng",""
"chart6272","Material costs","6272","expense_direct_cost","False","Chi phí nguyên, vật liệu",""
"chart6273","Tools and instruments","6273","expense_direct_cost","False","Chi phí dụng cụ sản xuất",""
"chart6274","Fixed asset depreciation","6274","expense_depreciation","False","Chi phí khấu hao TSCĐ",""
"chart6275","Taxes, fees and charges","6275","expense_direct_cost","False","Thuế, phí, lệ phí",""
"chart6277","Outside services","6277","expense_direct_cost","False","Chi phí dịch vụ mua ngoài",""
"chart6278","Other expenses","6278","expense_direct_cost","False","Chi phí bằng tiền khác",""
"chart632","Costs of goods sold","632","expense_direct_cost","False","Giá vốn hàng bán",""
"chart635","Financial expenses","635","expense","False","Chi phí tài chính",""
"chart6351","Financial expenses - interest expense","6351","expense","False","Chi phí tài chính","l10n_vn.operating_paid_borrowing_expense"
"chart6352","Loss from revaluation of foreign currency items","6352","expense","False","","l10n_vn.currency_differences"
"chart6353","Loss from exchange rate difference - financial investment","6353","expense","False","","l10n_vn.operating_fin_activities"
"chart6354","Loss from selling financial investment","6354","expense","False","",""
"chart6411","Employees costs","6411","expense","False","Chi phí nhân viên",""
"chart6412","Materials and packing materials","6412","expense","False","Chi phí nguyên vật liệu, bao bì",""
"chart6413","Tools and instruments","6413","expense","False","Chi phí dụng cụ, đồ dùng",""
"chart6414","Fixed asset depreciation","6414","expense_depreciation","False","Chi phí khấu hao TSCĐ",""
"chart6415","Taxes, fees and charges","6415","expense","False","Thuế, phí, lệ phí",""
"chart6417","Outside services","6417","expense","False","Chi phí dịch vụ mua ngoài",""
"chart6418","Other expenses","6418","expense","False","Chi phí bằng tiền khác",""
"chart6421","Employees management costs","6421","expense","False","Chi phí nhân viên",""
